Date,Price,Open,High,Low,Vol.,Change %
2017-05-23,740.93,744.32,746.18,740.28,266860000,-0.43
2017-05-22,744.1,738.63,746.87,738.63,272760000,1.4
2017-05-19,733.82,727.61,733.82,726.79,211590000,0.94
2017-05-18,726.99,727.2,729.0,723.8,219680000,-0.03
2017-05-17,727.2,724.01,728.01,722.81,206670000,0.3
2017-05-16,725.03,725.84,727.86,725.03,294210000,-0.04
2017-05-15,725.35,725.25,726.19,723.18,240890000,0.0
2017-05-12,725.37,724.63,726.4,724.41,188850000,0.05
2017-05-11,724.99,724.84,726.82,723.39,223040000,0.09
2017-05-10,724.31,721.94,727.52,721.81,228170000,0.3
2017-05-09,722.11,718.86,722.11,716.95,224900000,0.45
2017-05-08,718.86,720.61,720.61,717.98,232460000,-0.16
2017-05-05,720.0,720.39,721.65,719.86,194380000,-0.28
2017-05-04,722.02,717.98,723.22,717.98,215830000,0.34
2017-05-03,719.54,718.7,719.54,716.66,229580000,0.25
2017-04-28,717.73,715.9,718.54,713.83,190640000,0.17
2017-04-27,716.53,711.74,716.53,711.38,187190000,0.91
2017-04-26,710.04,706.36,710.04,706.32,142340000,0.35
2017-04-25,707.58,709.0,709.81,706.04,137230000,-0.26
2017-04-24,709.39,711.6,712.77,709.39,154880000,-0.42
2017-04-21,712.41,712.77,715.08,711.08,202270000,-0.04
2017-04-20,712.66,716.76,716.76,712.66,137640000,-0.57
2017-04-19,716.77,714.87,716.77,714.02,151570000,0.26
2017-04-18,714.93,708.64,714.93,705.55,178130000,0.58
2017-04-17,710.83,718.93,721.78,710.83,170260000,-1.06
2017-04-14,718.45,722.47,722.96,714.13,195280000,-0.81
2017-04-13,724.35,725.54,727.34,723.88,190430000,-0.17
2017-04-12,725.58,731.62,732.87,724.48,249510000,-0.79
2017-04-11,731.33,730.15,732.24,730.15,210270000,0.2
2017-04-10,729.87,728.71,730.9,727.77,152420000,0.26
2017-04-07,727.95,721.85,727.95,720.28,229960000,0.65
2017-04-05,723.22,724.89,726.03,722.49,217980000,-0.13
2017-04-04,724.14,723.7,724.67,722.79,214300000,0.24
2017-04-03,722.38,723.02,724.37,721.58,183070000,0.01
2017-03-31,722.31,725.97,726.67,722.31,213140000,-0.21
2017-03-30,723.86,721.87,725.91,721.87,195790000,0.47
2017-03-29,720.47,719.08,721.92,718.37,193990000,0.17
2017-03-28,719.26,724.37,725.0,718.66,221920000,-0.59
2017-03-27,723.52,723.23,725.57,721.41,233190000,0.19
2017-03-24,722.14,719.56,724.36,719.56,214780000,0.36
2017-03-23,719.56,712.61,719.56,712.61,192350000,0.93
2017-03-22,712.94,715.78,720.68,712.94,269000000,-0.45
2017-03-21,716.18,717.03,718.8,714.78,231630000,0.16
2017-03-20,715.07,711.44,717.54,711.44,175290000,0.64
2017-03-17,710.54,715.82,717.1,710.54,253200000,-0.61
2017-03-16,714.92,712.56,715.03,710.66,179090000,0.25
2017-03-15,713.14,715.63,716.49,713.14,139570000,-0.22
2017-03-14,714.71,709.9,716.49,709.29,134820000,0.64
2017-03-13,710.17,711.93,712.63,707.63,146590000,-0.29
2017-03-10,712.21,715.85,716.81,712.21,197430000,-0.5
2017-03-09,715.8,715.86,718.23,714.96,195410000,-0.11
2017-03-08,716.6,715.04,718.78,713.89,175660000,0.01
2017-03-07,716.54,716.46,716.95,714.27,195680000,0.03
2017-03-06,716.29,714.61,718.04,714.01,172200000,0.51
2017-03-03,712.62,708.23,712.62,705.83,170920000,0.72
2017-03-02,707.51,712.68,713.53,707.51,176450000,-0.28
2017-03-01,709.52,710.7,712.49,705.79,222200000,-0.18
2017-02-28,710.79,718.24,719.14,710.79,192320000,-0.93
2017-02-27,717.44,711.7,718.37,711.7,182510000,0.42
2017-02-24,714.47,716.35,717.94,713.7,232800000,-0.33
2017-02-23,716.87,717.49,719.58,712.36,228280000,-0.05
2017-02-22,717.24,717.77,719.09,715.36,231760000,0.1
2017-02-21,716.55,711.49,718.06,711.49,210810000,0.84
2017-02-20,710.59,705.72,711.4,704.41,199900000,0.39
2017-02-17,707.83,709.52,710.21,705.84,166180000,-0.21
2017-02-16,709.35,712.61,717.57,709.35,198420000,-0.31
2017-02-15,711.57,706.84,711.73,706.84,169000000,0.75
2017-02-14,706.26,706.41,707.32,703.85,175120000,0.05
2017-02-13,705.9,704.61,706.47,703.58,161220000,0.3
2017-02-10,703.78,701.15,704.08,701.15,138320000,0.45
2017-02-09,700.65,700.93,702.64,700.21,147550000,-0.2
2017-02-08,702.04,702.67,702.77,700.47,156110000,0.02
2017-02-07,701.91,699.99,703.3,698.99,158640000,0.27
2017-02-06,700.04,702.02,702.02,696.92,126960000,-0.04
2017-02-03,700.35,704.69,708.1,700.09,124670000,-0.4
2017-02-02,703.18,699.8,703.2,697.71,86420000,0.85
2017-01-25,697.28,693.07,697.28,691.19,98350000,0.86
2017-01-24,691.36,687.08,692.75,687.08,98370000,0.61
2017-01-23,687.15,687.83,689.47,686.46,87810000,0.13
2017-01-20,686.26,684.05,688.42,684.05,90690000,0.58
2017-01-19,682.31,683.02,684.19,680.8,89190000,-0.14
2017-01-18,683.28,683.74,688.07,683.28,101060000,-0.21
2017-01-17,684.71,678.83,684.73,678.83,108970000,1.0
2017-01-16,677.94,684.62,684.82,677.85,89570000,-1.04
2017-01-13,685.06,686.58,688.62,685.06,94950000,-0.28
2017-01-12,686.96,688.71,688.99,685.59,112440000,-0.03
2017-01-11,687.16,680.85,687.16,680.85,108710000,0.89
2017-01-10,681.07,682.77,683.02,680.76,87800000,-0.22
2017-01-09,682.57,681.74,684.88,681.74,101400000,0.41
2017-01-06,679.8,675.35,683.76,675.22,127410000,0.59
2017-01-05,675.81,674.82,675.92,673.31,102170000,0.16
2017-01-04,674.7,672.58,675.93,672.21,110030000,0.4
2017-01-03,672.01,665.92,672.34,665.43,84660000,1.07
2016-12-30,664.87,664.17,665.49,663.39,121550000,0.02
2016-12-29,664.72,666.43,666.43,663.95,116500000,0.18
2016-12-28,663.5,665.9,666.64,661.8,118800000,-0.05
2016-12-27,663.86,662.66,665.5,661.41,160240000,0.21
2016-12-26,662.45,665.67,665.73,662.09,114880000,-0.29
2016-12-23,664.37,663.75,664.37,659.18,114630000,0.03
2016-12-22,664.15,669.01,669.95,663.7,94910000,-0.42
2016-12-21,666.94,662.36,667.06,657.4,130130000,0.65
2016-12-20,662.66,673.93,674.28,662.66,100040000,-1.73
2016-12-19,674.33,673.98,679.9,673.88,124370000,-0.12
2016-12-16,675.16,670.43,675.19,668.3,177180000,1.39
2016-12-15,665.92,668.07,668.07,664.08,126550000,0.12
2016-12-14,665.14,657.39,665.14,657.39,212100000,1.6
2016-12-13,654.66,662.27,663.54,654.34,135080000,-0.76
2016-12-12,659.7,663.7,664.67,658.84,111500000,-0.51
2016-12-09,663.07,659.46,664.46,659.46,119360000,0.63
2016-12-08,658.89,655.48,660.72,655.48,135120000,0.82
2016-12-07,653.53,648.63,654.13,647.33,130470000,0.31
2016-12-06,651.49,660.68,660.77,648.37,126600000,-1.32
2016-12-05,660.21,663.06,663.87,658.11,157010000,-0.74
2016-12-02,665.14,667.02,667.39,662.09,135980000,-0.21
2016-12-01,666.54,670.75,670.81,666.54,127430000,0.22
2016-11-30,665.07,658.44,665.78,654.99,155540000,1.03
2016-11-29,658.26,665.11,667.79,658.26,117030000,-1.06
2016-11-28,665.29,672.38,673.18,660.96,107430000,-1.57
2016-11-25,675.87,678.47,678.87,671.48,115870000,-0.34
2016-11-24,678.18,683.61,683.61,676.39,125300000,-0.73
2016-11-23,683.16,681.17,684.12,679.81,116630000,0.18
2016-11-22,681.91,675.23,681.91,675.23,113020000,1.13
2016-11-21,674.29,673.2,675.04,671.65,103610000,0.15
2016-11-18,673.25,673.82,675.15,669.18,104890000,-0.2
2016-11-17,674.57,674.5,676.48,673.13,128550000,0.0
2016-11-16,674.6,674.85,676.9,673.95,111240000,0.05
2016-11-15,674.26,673.75,675.73,671.55,118000000,0.18
2016-11-14,673.05,677.13,679.96,672.45,121620000,-0.91
2016-11-11,679.2,678.38,679.56,676.73,115750000,0.15
2016-11-10,678.17,675.36,678.57,675.18,119980000,1.18
2016-11-09,670.26,675.57,675.57,656.68,148000000,-0.92
2016-11-08,676.46,675.82,677.91,674.33,96710000,0.34
2016-11-07,674.14,667.12,674.36,666.61,102950000,1.11
2016-11-04,666.73,666.93,668.99,665.08,87220000,-0.13
2016-11-03,667.63,668.66,668.66,661.86,128260000,-0.56
2016-11-02,671.4,675.68,678.14,671.4,142390000,-0.77
2016-11-01,676.6,675.13,676.6,672.33,118660000,0.12
2016-10-31,675.8,682.11,683.34,675.8,130150000,-0.95
2016-10-28,682.25,676.74,682.25,675.85,117260000,0.79
2016-10-27,676.9,672.81,676.9,671.61,91030000,0.49
2016-10-26,673.61,676.18,676.18,670.8,102380000,-0.38
2016-10-25,676.18,676.29,677.47,670.6,127870000,-0.27
2016-10-24,678.02,683.14,684.51,677.89,125470000,-0.99
2016-10-21,684.83,685.77,687.54,683.76,136020000,-0.23
2016-10-20,686.39,690.45,690.86,685.63,121090000,-0.36
